%vehicle;startx;starty;starttime;endx;endy;endtime;box;operation
Vehicle0;0;100;32770;610;100;33385;B203;PU
Vehicle0;610;100;33385;10;100;33990;B203;PL
Vehicle0;10;100;33990;610;100;34595;B201;PU
Vehicle0;610;100;34595;610;100;34600;B202;PU
Vehicle0;610;100;34600;610;100;34605;B202;PL
Vehicle0;610;100;34605;0;100;35220;B201;PL
Vehicle0;0;100;35220;610;100;35835;B200;PU
Vehicle0;610;100;35835;610;100;35840;B202;PU
Vehicle0;610;100;35840;610;100;35845;B202;PL
Vehicle0;610;100;35845;10;100;36450;B200;PL
Vehicle0;10;100;36450;620;100;37065;B206;PU
Vehicle0;620;100;37065;620;100;37070;B207;PU
Vehicle0;620;100;37070;520;100;37175;B206;PL
Vehicle0;520;100;37175;520;100;37180;B207;PL
Vehicle0;520;100;37180;620;100;37285;B204;PU
Vehicle0;620;100;37285;620;100;37290;B205;PU
Vehicle0;620;100;37290;620;100;37295;B205;PL
Vehicle0;620;100;37295;0;100;37920;B204;PL
Vehicle0;0;100;37920;640;100;38565;B214;PU
Vehicle0;640;100;38565;640;100;38570;B215;PU
Vehicle0;640;100;38570;570;100;38645;B215;PL
Vehicle0;570;100;38645;570;100;38650;B214;PL
Vehicle0;570;100;38650;640;100;38725;B213;PU
Vehicle0;640;100;38725;0;100;39370;B213;PL
Vehicle0;0;100;39370;640;100;40015;B212;PU
Vehicle0;640;100;40015;0;100;40660;B212;PL
Vehicle0;0;100;40660;660;100;41325;B223;PU
Vehicle0;660;100;41325;10;100;41980;B223;PL
Vehicle0;10;100;41980;680;100;42655;B230;PU
Vehicle0;680;100;42655;680;100;42660;B231;PU
Vehicle0;680;100;42660;680;100;42665;B231;PL
Vehicle0;680;100;42665;10;100;43340;B230;PL
Vehicle0;10;100;43340;680;100;44015;B229;PU
Vehicle0;680;100;44015;680;100;44020;B231;PU
Vehicle0;680;100;44020;680;100;44025;B231;PL
Vehicle0;680;100;44025;10;100;44700;B229;PL
Vehicle0;10;100;44700;690;100;45385;B234;PU
Vehicle0;690;100;45385;690;100;45390;B235;PU
Vehicle0;690;100;45390;640;100;45445;B235;PL
Vehicle0;640;100;45445;640;100;45450;B234;PL
Vehicle0;640;100;45450;690;100;45505;B232;PU
Vehicle0;690;100;45505;690;100;45510;B233;PU
Vehicle0;690;100;45510;690;100;45515;B233;PL
Vehicle0;690;100;45515;10;100;46200;B232;PL
Vehicle0;10;100;46200;720;100;46915;B246;PU
Vehicle0;720;100;46915;720;100;46920;B247;PU
Vehicle0;720;100;46920;580;100;47065;B246;PL
Vehicle0;580;100;47065;580;100;47070;B247;PL
Vehicle0;580;100;47070;720;100;47215;B244;PU
Vehicle0;720;100;47215;720;100;47220;B245;PU
Vehicle0;720;100;47220;720;100;47225;B245;PL
Vehicle0;720;100;47225;0;100;47950;B244;PL
Vehicle0;0;100;47950;730;100;48685;B251;PU
Vehicle0;730;100;48685;10;100;49410;B251;PL
Vehicle0;10;100;49410;740;100;50145;B254;PU
Vehicle0;740;100;50145;740;100;50150;B255;PU
Vehicle0;740;100;50150;610;100;50285;B254;PL
Vehicle0;610;100;50285;610;100;50290;B255;PL
Vehicle0;610;100;50290;740;100;50425;B252;PU
Vehicle0;740;100;50425;740;100;50430;B253;PU
Vehicle0;740;100;50430;740;100;50435;B253;PL
Vehicle0;740;100;50435;10;100;51170;B252;PL
Vehicle0;10;100;51170;760;100;51925;B262;PU
Vehicle0;760;100;51925;760;100;51930;B263;PU
Vehicle0;760;100;51930;620;100;52075;B262;PL
Vehicle0;620;100;52075;620;100;52080;B263;PL
Vehicle0;620;100;52080;760;100;52225;B261;PU
Vehicle0;760;100;52225;10;100;52980;B261;PL
Vehicle0;10;100;52980;760;100;53735;B260;PU
Vehicle0;760;100;53735;0;100;54500;B260;PL
Vehicle0;0;100;54500;770;100;55275;B266;PU
Vehicle0;770;100;55275;770;100;55280;B267;PU
Vehicle0;770;100;55280;770;100;55285;B267;PL
Vehicle0;770;100;55285;10;100;56050;B266;PL
Vehicle0;10;100;56050;780;100;56825;B270;PU
Vehicle0;780;100;56825;780;100;56830;B271;PU
Vehicle0;780;100;56830;760;100;56855;B271;PL
Vehicle0;760;100;56855;760;100;56860;B270;PL
Vehicle0;760;100;56860;780;100;56885;B268;PU
Vehicle0;780;100;56885;780;100;56890;B269;PU
Vehicle0;780;100;56890;780;100;56895;B269;PL
Vehicle0;780;100;56895;0;100;57680;B268;PL
Vehicle0;0;100;57680;790;100;58475;B274;PU
Vehicle0;790;100;58475;790;100;58480;B275;PU
Vehicle0;790;100;58480;790;100;58485;B275;PL
Vehicle0;790;100;58485;0;100;59280;B274;PL
Vehicle0;0;100;59280;790;100;60075;B273;PU
